391:  START nee dank u
336:  START ik wil van
224:  dank u wel STOP
205:  nee dank u STOP
177:  nee dank u wel
162:  START nee ik wil
145:  START ik wil om
137:  START ik wil graag
116:  START ja dat klopt
111:  ja dat klopt STOP
105:  START ik wil reizen
86:  START ik wil niet
81:  ik wil reizen van
73:  START van groningen naar
65:  START om tien uur
63:  ik wil graag van
62:  om tien uur STOP
61:  START van den haag
53:  dat hoeft niet STOP
51:  START om acht uur
50:  den haag centraal naar
49:  START nee dat hoeft
48:  naar den haag STOP
46:  nee dat hoeft niet
45:  van den haag naar
44:  START om negen uur
42:  dat is niet nodig
41:  ik wil van den
40:  nee ik wil om
39:  START nee dat is
37:  START ik wil op
36:  wil van den haag
35:  START ik wil morgen
34:  START ja dat wil
33:  nee ik wil van
31:  ik wil niet naar
30:  ik wil om tien
29:  START van voorburg naar
28:  negen uur smorgens STOP
27:  START van leiden naar
26:  dat wil ik STOP
25:  om elf uur STOP
24:  den haag mariahoeve naar
23:  START van haarlem naar
22:  acht uur vertrekken STOP
21:  wil om acht uur
20:  laan van nieuw oost
19:  ik wil om een
18:  hoor dank u STOP
17:  START ja dat is
16:  ik heb het begrepen
15:  tien uur smorgens STOP
14:  START van rotterdam naar
13:  wil van alkmaar naar
12:  ik wil om twaalf
11:  twee uur smiddags STOP
10:  START van enschede naar
9:  van maastricht naar eindhoven
8:  vier uur aankomen STOP
7:  START nee dit is
6:  ik wil van gorinchem
5:  van amsterdam naar gouda
4:  wil op donderdag zeuven
3:  van amsterdam bijlmer naar
2:  START nee om na
1:  van alkmaar naar medemblik
