1156:  START ik wil
397:  START nee dank
393:  nee dank u
390:  ik wil van
249:  dank u STOP
248:  dank u wel
224:  u wel STOP
211:  ik wil om
185:  START nee hoor
180:  dat klopt STOP
179:  START nee ik
177:  START ja dat
164:  nee ik wil
153:  ik wil graag
141:  om tien uur
139:  tien uur STOP
128:  van den haag
117:  ja dat klopt
114:  negen uur STOP
112:  ik wil reizen
111:  START nee dat
108:  acht uur STOP
107:  van groningen naar
105:  naar groningen STOP
98:  ik wil niet
97:  START ja graag
93:  ja graag STOP
88:  naar den haag
83:  den haag centraal
82:  wil reizen van
80:  START van den
79:  naar utrecht STOP
78:  START van groningen
77:  ik wil vanuit
75:  START dat klopt
74:  uur aankomen STOP
73:  START tien uur
72:  uur smorgens STOP
71:  ik wil naar
69:  START om tien
66:  START acht uur
64:  dat hoeft niet
63:  wil graag van
61:  hoeft niet STOP
59:  om een uur
58:  naar amsterdam STOP
57:  om elf uur
56:  niet nodig STOP
55:  START van amsterdam
53:  naar leeuwarden STOP
52:  START om acht
51:  uur sochtends STOP
50:  haag centraal naar
49:  is niet nodig
48:  om twee uur
47:  hoor dank u
46:  nee hoor dank
45:  dat wil ik
44:  START nee om
42:  om drie uur
41:  ik wil vertrekken
40:  van leiden naar
39:  nee dat is
38:  van utrecht naar
37:  van haarlem naar
36:  uur dertig STOP
35:  om vier uur
33:  vierentwintig januari STOP
32:  van nijmegen naar
31:  van delft naar
30:  wil om tien
29:  START van voorburg
28:  START om elf
27:  alphen aan den
26:  START van delft
25:  START nee bedankt
24:  START nee niet
23:  naar breda STOP
22:  acht uur vertrekken
21:  nieuw oost indie
20:  reizen ik wil
19:  START om een
18:  van amersfoort naar
17:  naar oss STOP
16:  heb het begrepen
15:  wil om ongeveer
14:  START om zes
13:  van zoetermeer naar
12:  START drieentwintig januari
11:  van oss naar
10:  amsterdam naar utrecht
9:  zestien uur STOP
8:  drie uur smiddags
7:  om dertien uur
6:  START den helder
5:  over zes STOP
4:  morgen middag STOP
3:  naar blerick STOP
2:  acht januari STOP
1:  centraal naar oosterhout
